Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,MonthlyHours,TaxRate,OverallSatisfaction
52.0,No,Travel_Rarely,Research & Development,9,4,Medical,2,Male,88,3,3,Research Director,3,Single,8446.0,13782.0,9,No,17,3,0,2.0,2,8.0,7,2,156.61,0.39,2
36.0,No,Travel_Rarely,Research & Development,1,1,Life Sciences,2,Male,52,3,5,Manager,3,Divorced,4834.0,8213.0,1,Yes,14,3,1,3.0,3,1.0,8,1,157.94,0.41,2
25.0,No,Travel_Frequently,Sales,16,3,Life Sciences,3,Male,36,3,2,Sales Executive,4,Divorced,4768.0,16130.0,1,Yes,25,3,1,4.0,3,1.0,5,1,448.06,0.7,3
33.0,No,Travel_Rarely,Research & Development,5,4,Technical Degree,2,Male,65,3,1,Research Scientist,2,Single,2799.0,17674.0,2,No,14,2,0,1.0,3,3.0,7,0,271.91,0.84,2
31.0,No,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,6319.0,7978.0,1,No,12,3,0,2.0,3,10.0,2,2,106.37,0.21,3
35.0,No,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,57,4,1,Research Scientist,3,Divorced,2269.0,15748.0,1,No,11,4,3,2.0,3,1.0,2,0,276.28,0.86,3
27.0,No,Travel_Rarely,Sales,4,2,Life Sciences,3,Male,56,3,1,Sales Representative,2,Married,8726.0,20990.0,2,No,11,1,1,0.0,3,9.0,3,1,374.82,0.58,2
23.0,No,Travel_Frequently,Sales,3,1,Medical,4,Male,71,4,2,Sales Executive,4,Divorced,1790.0,16673.0,1,Yes,20,2,2,2.0,3,1.0,5,0,234.83,0.89,3
42.0,No,Travel_Rarely,Research & Development,17,2,Life Sciences,4,Male,82,4,2,Research Scientist,1,Single,3375.0,23016.0,3,Yes,13,3,0,2.0,3,3.0,2,0,280.68,0.85,3
35.0,No,Travel_Rarely,Research & Development,29,3,Life Sciences,2,Male,98,3,2,Manufacturing Director,2,Married,2690.0,11806.0,1,No,13,4,1,5.0,2,1.0,8,7,120.47,0.77,2
39.0,No,Travel_Rarely,Research & Development,5,3,Medical,3,Male,45,2,3,Manager,1,Single,3069.0,5615.0,2,No,12,4,0,3.0,3,10.0,10,5,124.78,0.45,2
59.0,No,Travel_Rarely,Sales,26,2,Life Sciences,2,Female,98,2,2,Sales Executive,2,Single,13726.0,25166.0,8,No,15,3,0,4.0,3,5.0,2,2,256.8,0.45,2
34.0,No,Travel_Rarely,Research & Development,12,2,Other,4,Male,78,3,1,Laboratory Technician,4,Single,2008.0,13672.0,1,No,13,3,0,2.0,4,1.0,2,1,175.28,0.85,3
35.0,No,Travel_Rarely,Research & Development,1,3,Technical Degree,4,Male,80,3,3,Research Director,1,Married,16292.0,16292.0,1,No,13,2,1,3.0,3,13.0,12,5,203.65,0.0,2
37.0,No,Travel_Rarely,Research & Development,4,3,Medical,4,Female,50,3,2,Healthcare Representative,2,Single,3452.0,5197.0,9,No,12,4,0,3.0,2,5.0,2,2,103.94,0.34,3
38.0,No,Travel_Rarely,Sales,8,4,Life Sciences,1,Female,46,3,2,Sales Executive,1,Married,10589.0,10589.0,2,No,13,4,1,3.0,1,7.0,2,2,230.2,0.0,2
51.0,No,Travel_Rarely,Sales,2,2,Life Sciences,1,Male,54,3,1,Sales Representative,3,Married,6393.0,6393.0,0,No,19,3,1,4.0,3,4.0,2,1,118.39,0.0,2
40.0,No,Travel_Rarely,Sales,3,3,Life Sciences,1,Male,76,3,3,Sales Executive,3,Divorced,5003.0,9647.0,0,No,12,3,2,6.0,2,10.0,10,5,126.93,0.48,2
36.0,No,Non-Travel,Sales,10,1,Medical,4,Male,74,3,1,Sales Representative,2,Married,9980.0,23384.0,1,No,22,2,0,3.0,3,10.0,0,0,316.0,0.57,2
38.0,No,Travel_Frequently,Research & Development,29,3,Medical,2,Female,86,3,2,Laboratory Technician,3,Married,17491.0,17491.0,4,No,13,1,2,4.0,3,6.0,7,7,203.38,0.0,2
34.0,No,Travel_Rarely,Research & Development,10,2,Life Sciences,1,Female,69,3,1,Research Scientist,4,Married,3038.0,9655.0,3,No,21,4,2,3.0,2,1.0,2,0,139.93,0.69,2
40.0,No,Travel_Rarely,Research & Development,1,3,Medical,4,Male,81,3,5,Manager,1,Single,10475.0,18938.0,0,Yes,14,3,0,2.0,3,18.0,10,4,233.8,0.45,2
33.0,No,Travel_Rarely,Sales,18,3,Medical,3,Male,86,3,2,Sales Executive,3,Married,6179.0,7104.0,1,No,16,2,0,2.0,3,5.0,2,1,82.6,0.13,2
52.0,No,Travel_Rarely,Research & Development,5,3,Technical Degree,3,Male,37,2,3,Healthcare Representative,2,Divorced,9255.0,9610.0,2,Yes,13,4,1,2.0,3,4.0,0,0,259.73,0.04,2
36.0,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,Male,61,1,2,Healthcare Representative,2,Married,4678.0,14382.0,5,No,15,1,0,2.0,1,6.0,0,0,235.77,0.67,1
35.0,No,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Female,62,1,1,Research Scientist,4,Married,8952.0,8952.0,1,No,12,4,1,2.0,3,17.0,3,1,144.39,0.0,3
33.0,No,Travel_Frequently,Human Resources,2,1,Human Resources,2,Female,94,2,2,Human Resources,4,Single,4223.0,7525.0,1,No,21,4,0,2.0,2,15.0,1,0,80.05,0.44,2
48.0,No,Travel_Rarely,Sales,22,2,Marketing,3,Female,95,3,2,Sales Executive,2,Married,6439.0,15480.0,0,No,13,1,1,2.0,4,8.0,7,0,162.95,0.58,2
34.0,No,Travel_Frequently,Research & Development,2,1,Medical,3,Male,40,2,4,Manager,1,Single,9547.0,17323.0,7,No,15,2,0,2.0,4,10.0,7,6,433.07,0.45,2
50.0,No,Travel_Rarely,Research & Development,29,2,Life Sciences,1,Male,92,3,2,Research Scientist,3,Divorced,12932.0,12932.0,2,No,11,2,1,3.0,3,2.0,4,0,140.57,0.0,2
55.0,No,Non-Travel,Sales,2,4,Life Sciences,3,Male,70,3,1,Sales Representative,4,Single,17001.0,17001.0,3,Yes,21,4,0,3.0,2,9.0,2,1,242.87,0.0,3
35.0,No,Travel_Rarely,Research & Development,7,2,Medical,2,Male,31,3,2,Manufacturing Director,1,Married,1951.0,4156.0,1,No,12,2,1,3.0,1,1.0,10,3,134.06,0.53,1
40.0,No,Travel_Rarely,Sales,17,2,Marketing,3,Male,33,2,2,Sales Executive,2,Married,2018.0,16822.0,2,No,16,3,2,3.0,1,5.0,2,1,509.76,0.88,2
47.0,No,Travel_Frequently,Research & Development,3,2,Life Sciences,3,Male,39,3,3,Research Director,4,Single,12936.0,19373.0,3,No,15,4,0,3.0,3,8.0,7,7,496.74,0.33,3
36.0,No,Travel_Rarely,Research & Development,6,3,Medical,3,Female,51,4,2,Research Scientist,1,Divorced,7094.0,17001.0,4,Yes,13,1,2,0.0,3,7.0,7,6,333.35,0.58,2
29.0,No,Travel_Rarely,Research & Development,10,1,Medical,3,Male,66,3,1,Research Scientist,3,Married,2804.0,12127.0,0,No,17,2,1,3.0,2,1.0,1,0,183.74,0.77,2
47.0,No,Travel_Rarely,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,5868.0,5914.0,4,No,13,4,1,3.0,2,13.0,2,1,74.86,0.01,2
39.0,No,Non-Travel,Human Resources,4,3,Human Resources,3,Male,60,1,2,Human Resources,2,Married,6472.0,20794.0,6,No,19,2,1,2.0,3,9.0,2,1,346.57,0.69,2
24.0,No,Travel_Rarely,Research & Development,11,2,Medical,3,Male,80,3,2,Healthcare Representative,1,Married,2725.0,17089.0,1,Yes,12,4,0,3.0,2,6.0,5,0,213.61,0.84,2
43.0,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,Male,81,2,3,Research Director,2,Married,26707.0,26707.0,3,No,17,3,1,2.0,3,10.0,8,0,329.72,0.0,2
34.0,No,Travel_Frequently,Sales,26,4,Marketing,3,Female,100,3,2,Sales Executive,4,Married,12069.0,12069.0,0,No,18,1,0,3.0,3,2.0,2,2,120.69,0.0,2
37.0,No,Travel_Rarely,Research & Development,2,2,Medical,3,Male,75,2,1,Laboratory Technician,2,Married,6502.0,15963.0,4,No,14,2,1,2.0,2,5.0,1,0,212.84,0.59,2
24.0,No,Travel_Rarely,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,2819.0,4617.0,6,No,20,4,2,2.0,3,6.0,2,0,54.96,0.39,2
38.0,Yes,Travel_Frequently,Sales,26,4,Marketing,3,Male,52,2,2,Sales Executive,1,Single,22967.0,22967.0,5,No,15,3,0,2.0,2,6.0,3,0,441.67,0.0,2
31.0,Yes,Non-Travel,Research & Development,3,3,Life Sciences,1,Male,89,3,1,Laboratory Technician,1,Married,9936.0,14669.0,4,No,12,3,0,2.0,4,9.0,2,1,164.82,0.32,2
44.0,No,Travel_Rarely,Sales,2,2,Marketing,4,Male,46,3,2,Sales Executive,2,Divorced,2559.0,22553.0,7,No,12,3,2,0.0,3,8.0,4,1,490.28,0.89,3
60.0,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2396.0,2396.0,6,Yes,15,2,0,2.0,3,1.0,0,0,26.04,0.0,2
29.0,No,Travel_Rarely,Research & Development,2,1,Life Sciences,4,Female,77,4,2,Manufacturing Director,3,Divorced,4973.0,4973.0,1,No,17,3,2,5.0,3,0.0,7,0,64.58,0.0,3
46.0,No,Travel_Rarely,Research & Development,23,4,Medical,2,Female,91,1,1,Laboratory Technician,3,Married,5855.0,9696.0,0,No,16,2,1,2.0,4,9.0,4,0,106.55,0.4,2
37.0,No,Travel_Rarely,Sales,2,3,Life Sciences,4,Male,74,3,2,Sales Executive,3,Single,3564.0,5242.0,1,Yes,11,1,0,3.0,3,8.0,4,0,70.84,0.32,2
34.0,No,Travel_Rarely,Research & Development,6,3,Medical,1,Female,81,2,5,Manager,3,Married,2742.0,22539.0,7,No,13,4,0,2.0,3,2.0,12,6,278.26,0.88,2
45.0,No,Non-Travel,Research & Development,9,4,Life Sciences,3,Male,42,2,1,Research Scientist,2,Single,7551.0,7551.0,0,Yes,16,4,0,1.0,3,20.0,2,2,179.79,0.0,2
51.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,3,Female,60,2,1,Laboratory Technician,2,Divorced,4936.0,26551.0,1,No,11,3,3,2.0,3,7.0,0,0,442.52,0.81,2
45.0,Yes,Travel_Rarely,Research & Development,8,1,Medical,4,Female,93,2,1,Laboratory Technician,3,Single,5006.0,20586.0,1,Yes,11,1,0,3.0,3,5.0,4,1,221.35,0.76,2
38.0,No,Travel_Rarely,Research & Development,28,3,Life Sciences,4,Female,43,3,4,Research Director,1,Married,6545.0,22422.0,4,Yes,11,2,0,1.0,3,3.0,2,1,521.44,0.71,2
28.0,No,Travel_Rarely,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2713.0,22310.0,1,No,25,3,3,2.0,2,5.0,7,0,232.4,0.88,2
56.0,No,Travel_Rarely,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,16090.0,16090.0,4,No,12,4,0,2.0,3,5.0,2,1,223.47,0.0,3
35.0,No,Travel_Rarely,Research & Development,7,4,Medical,2,Male,78,4,2,Research Scientist,2,Married,5628.0,5628.0,6,Yes,16,4,0,2.0,3,9.0,0,0,72.15,0.0,3
30.0,No,Travel_Rarely,Research & Development,9,3,Medical,3,Female,62,4,1,Research Scientist,3,Married,2693.0,17616.0,1,No,16,4,1,3.0,3,1.0,3,0,284.13,0.85,3
49.0,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,86,2,1,Sales Representative,3,Married,3810.0,3810.0,1,Yes,14,3,0,2.0,3,6.0,2,0,44.3,0.0,2
29.0,No,Travel_Rarely,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,4267.0,6644.0,5,No,12,1,2,2.0,3,0.0,0,0,147.64,0.36,2
38.0,No,Travel_Rarely,Sales,10,4,Marketing,1,Male,67,2,3,Sales Executive,2,Divorced,2983.0,20652.0,2,No,12,2,1,3.0,2,3.0,0,0,308.24,0.86,1
34.0,Yes,Travel_Rarely,Research & Development,8,1,Medical,3,Male,79,3,1,Laboratory Technician,1,Married,2768.0,15999.0,1,Yes,17,3,0,3.0,3,7.0,0,0,202.52,0.83,2
40.0,No,Travel_Rarely,Research & Development,11,4,Medical,2,Female,87,3,4,Manager,4,Divorced,10435.0,24456.0,3,No,20,1,1,2.0,3,18.0,9,1,281.1,0.57,2
38.0,No,Travel_Frequently,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,4892.0,5321.0,1,No,19,4,0,1.0,3,8.0,0,0,147.81,0.08,3
22.0,No,Non-Travel,Research & Development,7,1,Medical,1,Female,62,2,1,Laboratory Technician,4,Divorced,6054.0,6054.0,6,No,14,3,3,6.0,3,1.0,3,0,97.65,0.0,2
60.0,No,Travel_Rarely,Research & Development,2,3,Technical Degree,4,Male,78,3,1,Research Scientist,1,Single,5405.0,11288.0,1,No,14,4,0,1.0,3,2.0,2,1,144.72,0.52,3
45.0,Yes,Travel_Rarely,Human Resources,20,2,Medical,4,Male,69,3,1,Human Resources,2,Married,6889.0,10851.0,0,Yes,11,3,0,2.0,3,7.0,1,1,157.26,0.37,3
34.0,No,Travel_Rarely,Research & Development,2,1,Other,4,Female,57,3,1,Laboratory Technician,3,Divorced,6029.0,7298.0,6,Yes,19,3,1,3.0,2,2.0,2,0,128.04,0.17,3
28.0,No,Travel_Rarely,Human Resources,10,4,Human Resources,3,Male,71,3,2,Human Resources,3,Married,4908.0,14814.0,3,No,11,3,0,3.0,3,4.0,3,1,208.65,0.67,3
34.0,No,Travel_Rarely,Sales,1,4,Marketing,2,Male,75,4,2,Sales Executive,4,Divorced,2691.0,12278.0,0,No,11,4,1,4.0,2,10.0,1,0,163.71,0.78,3
