Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,MonthlyHours,TaxRate,OverallSatisfaction
52,0,2,9,4,2,0,3,3,11,3,8446,9,0,17,3,0,2,2,8,7,156.61363636363637,0.3871716731969235,2.6
36,0,2,1,1,2,0,3,5,8,3,4834,1,1,14,3,1,3,3,1,8,157.94230769230768,0.4114209180567393,2.8
25,0,3,16,3,3,0,3,2,5,4,4768,1,1,25,3,1,4,3,1,5,448.05555555555554,0.7044017358958462,3.2
33,0,2,5,4,2,0,3,1,4,2,2799,2,0,14,2,0,1,3,3,7,271.9076923076923,0.8416317754894195,2.4
31,0,2,9,2,3,1,3,1,3,4,6319,1,0,12,3,0,2,3,10,2,106.37333333333333,0.20794685384808223,3.2
35,0,2,7,3,4,0,4,1,4,3,2269,1,0,11,4,3,2,3,1,2,276.280701754386,0.8559182118364237,3.6
27,0,2,4,2,3,0,3,1,2,2,8726,2,0,11,1,1,0,3,9,3,374.82142857142856,0.5842782277274893,2.4
23,0,3,3,1,4,0,4,2,5,4,1790,1,1,20,2,2,2,3,1,5,234.83098591549296,0.892640796497331,3.4
42,0,2,17,2,4,0,4,2,4,1,3375,3,1,13,3,0,2,3,3,2,280.6829268292683,0.8533628779979145,3.0
35,0,2,29,3,2,0,3,2,1,2,2690,1,0,13,4,1,5,2,1,8,120.46938775510205,0.7721497543621887,2.6
39,0,2,5,3,3,0,2,3,8,1,3069,2,0,12,4,0,3,3,10,10,124.77777777777777,0.4534283170080142,2.6
59,0,2,26,2,2,1,2,2,5,2,13726,8,0,15,3,0,4,3,5,2,256.7959183673469,0.4545815783199555,2.4
34,0,2,12,2,4,0,3,1,3,4,2008,1,0,13,3,0,2,4,1,2,175.28205128205127,0.8531304856641311,3.6
35,0,2,1,3,4,0,3,3,11,1,16292,1,0,13,2,1,3,3,13,12,203.65,0.0,2.6
37,0,2,4,3,4,1,3,2,6,2,3452,9,0,12,4,0,3,2,5,2,103.94,0.33577063690590725,3.0
38,0,2,8,4,1,1,3,2,5,1,10589,2,0,13,4,1,3,1,7,2,230.19565217391303,0.0,2.0
51,0,2,2,2,1,0,3,1,2,3,6393,0,0,19,3,1,4,3,4,2,118.38888888888889,0.0,2.6
40,0,2,3,3,1,0,3,3,5,3,5003,0,0,12,3,2,6,2,10,10,126.9342105263158,0.4813931792267026,2.4
36,0,1,10,1,4,0,3,1,2,2,9980,1,0,22,2,0,3,3,10,0,316.0,0.5732124529592884,2.8
38,0,3,29,3,2,1,3,2,3,3,17491,4,0,13,1,2,4,3,6,7,203.38372093023256,0.0,2.4
34,0,2,10,2,1,1,3,1,4,4,3038,3,0,21,4,2,3,2,1,2,139.92753623188406,0.6853443811496633,2.8
40,0,2,1,3,4,0,3,5,8,1,10475,0,1,14,3,0,2,3,18,10,233.80246913580248,0.44687929031576723,2.8
33,0,2,18,3,3,0,3,2,5,3,6179,1,0,16,2,0,2,3,5,2,82.6046511627907,0.13020833333333334,2.8
52,0,2,5,3,3,0,2,3,6,2,9255,2,1,13,4,1,2,3,4,0,259.72972972972974,0.03694068678459938,2.8
36,1,2,11,2,1,0,1,2,6,2,4678,5,0,15,1,0,2,1,6,0,235.7704918032787,0.6747323042692254,1.2
35,0,2,1,4,3,1,1,1,4,4,8952,1,0,12,4,1,2,3,17,3,144.38709677419354,0.0,3.0
33,0,3,2,1,2,1,2,2,7,4,4223,1,0,21,4,0,2,2,15,1,80.05319148936171,0.43880398671096343,2.8
48,0,2,22,2,3,1,3,2,5,2,6439,0,0,13,1,1,2,4,8,7,162.94736842105263,0.5840439276485788,2.6
34,0,3,2,1,3,0,2,4,8,1,9547,7,0,15,2,0,2,4,10,7,433.075,0.44888298793511516,2.4
50,0,2,29,2,1,0,3,2,4,3,12932,2,0,11,2,1,3,3,2,4,140.56521739130434,0.0,2.4
55,0,1,2,4,3,0,3,1,2,4,17001,3,1,21,4,0,3,2,9,2,242.87142857142857,0.0,3.2
35,0,2,7,2,2,0,3,2,1,1,1951,1,0,12,2,1,3,1,1,10,134.06451612903226,0.53055822906641,1.8
40,0,2,17,2,3,0,2,2,5,2,2018,2,0,16,3,2,3,1,5,2,509.75757575757575,0.8800380454167162,2.2
47,0,3,3,2,3,0,3,3,11,4,12936,3,0,15,4,0,3,3,8,7,496.7435897435897,0.33226655654777265,3.4
