Age,DistanceFromHome,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,MonthlyHours,Attrition,OverTime,OverallSatisfaction,JobLevel,NumCompaniesWorked,Education
52,9,8446,17,0,2,8,7,156.61,0,0,2,3,9,4
36,1,4834,14,1,3,1,8,157.94,0,1,2,5,1,1
25,16,4768,25,1,4,1,5,448.06,0,1,3,2,1,3
33,5,2799,14,0,1,3,7,271.91,0,0,2,1,2,4
31,9,6319,12,0,2,10,2,106.37,0,0,3,1,1,2
35,7,2269,11,3,2,1,2,276.28,0,0,3,1,1,3
27,4,8726,11,1,0,9,3,374.82,0,0,2,1,2,2
23,3,1790,20,2,2,1,5,234.83,0,1,3,2,1,1
42,17,3375,13,0,2,3,2,280.68,0,1,3,2,3,2
35,29,2690,13,1,5,1,8,120.47,0,0,2,2,1,3
39,5,3069,12,0,3,10,10,124.78,0,0,2,3,2,3
59,26,13726,15,0,4,5,2,256.8,0,0,2,2,8,2
34,12,2008,13,0,2,1,2,175.28,0,0,3,1,1,2
35,1,16292,13,1,3,13,12,203.65,0,0,2,3,1,3
37,4,3452,12,0,3,5,2,103.94,0,0,3,2,9,3
38,8,10589,13,1,3,7,2,230.2,0,0,2,2,2,4
51,2,6393,19,1,4,4,2,118.39,0,0,2,1,0,2
40,3,5003,12,2,6,10,10,126.93,0,0,2,3,0,3
36,10,9980,22,0,3,10,0,316.0,0,0,2,1,1,1
38,29,17491,13,2,4,6,7,203.38,0,0,2,2,4,3
34,10,3038,21,2,3,1,2,139.93,0,0,2,1,3,2
40,1,10475,14,0,2,18,10,233.8,0,1,2,5,0,3
33,18,6179,16,0,2,5,2,82.6,0,0,2,2,1,3
52,5,9255,13,1,2,4,0,259.73,0,1,2,3,2,3
36,11,4678,15,0,2,6,0,235.77,1,0,1,2,5,2
35,1,8952,12,1,2,17,3,144.39,0,0,3,1,1,4
33,2,4223,21,0,2,15,1,80.05,0,0,2,2,1,1
48,22,6439,13,1,2,8,7,162.95,0,0,2,2,0,2
34,2,9547,15,0,2,10,7,433.07,0,0,2,4,7,1
50,29,12932,11,1,3,2,4,140.57,0,0,2,2,2,2
55,2,17001,21,0,3,9,2,242.87,0,1,3,1,3,4
35,7,1951,12,1,3,1,10,134.06,0,0,1,2,1,2
40,17,2018,16,2,3,5,2,509.76,0,0,2,2,2,2
47,3,12936,15,0,3,8,7,496.74,0,0,3,3,3,2
36,6,7094,13,2,0,7,7,333.35,0,1,2,2,4,3
29,10,2804,17,1,3,1,1,183.74,0,0,2,1,0,1
47,1,5868,13,1,3,13,2,74.86,0,0,2,1,4,3
39,4,6472,19,1,2,9,2,346.57,0,0,2,2,6,3
24,11,2725,12,0,3,6,5,213.61,0,1,2,2,1,2
43,25,26707,17,1,2,10,8,329.72,0,0,2,3,3,2
34,26,12069,18,0,3,2,2,120.69,0,0,2,2,0,4
