Age,Attrition,BusinessTravel,DistanceFromHome,Education,Gender,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,MonthlyHours,TaxRate,OverallSatisfaction
52.0,No,Travel_Rarely,9,4,Male,3,Research Director,8446.0,9,No,17,0,2.0,8.0,7,156.61363636363637,0.3871716731969235,2.6
36.0,No,Travel_Rarely,1,1,Male,5,Manager,4834.0,1,Yes,14,1,3.0,1.0,8,157.94230769230768,0.4114209180567393,2.8
25.0,No,Travel_Frequently,16,3,Male,2,Sales Executive,4768.0,1,Yes,25,1,4.0,1.0,5,448.0555555555555,0.7044017358958462,3.2
33.0,No,Travel_Rarely,5,4,Male,1,Research Scientist,2799.0,2,No,14,0,1.0,3.0,7,271.9076923076923,0.8416317754894195,2.4
31.0,No,Travel_Rarely,9,2,Female,1,Laboratory Technician,6319.0,1,No,12,0,2.0,10.0,2,106.37333333333332,0.20794685384808226,3.2
35.0,No,Travel_Rarely,7,3,Male,1,Research Scientist,2269.0,1,No,11,3,2.0,1.0,2,276.280701754386,0.8559182118364237,3.6
27.0,No,Travel_Rarely,4,2,Male,1,Sales Representative,8726.0,2,No,11,1,0.0,9.0,3,374.82142857142856,0.5842782277274893,2.4
23.0,No,Travel_Frequently,3,1,Male,2,Sales Executive,1790.0,1,Yes,20,2,2.0,1.0,5,234.83098591549296,0.892640796497331,3.4
42.0,No,Travel_Rarely,17,2,Male,2,Research Scientist,3375.0,3,Yes,13,0,2.0,3.0,2,280.6829268292683,0.8533628779979145,3.0
35.0,No,Travel_Rarely,29,3,Male,2,Manufacturing Director,2690.0,1,No,13,1,5.0,1.0,8,120.46938775510205,0.7721497543621887,2.6
39.0,No,Travel_Rarely,5,3,Male,3,Manager,3069.0,2,No,12,0,3.0,10.0,10,124.77777777777777,0.4534283170080142,2.6
59.0,No,Travel_Rarely,26,2,Female,2,Sales Executive,13726.0,8,No,15,0,4.0,5.0,2,256.7959183673469,0.4545815783199555,2.4
34.0,No,Travel_Rarely,12,2,Male,1,Laboratory Technician,2008.0,1,No,13,0,2.0,1.0,2,175.28205128205127,0.8531304856641311,3.6
35.0,No,Travel_Rarely,1,3,Male,3,Research Director,16292.0,1,No,13,1,3.0,13.0,12,203.65,0.0,2.6
37.0,No,Travel_Rarely,4,3,Female,2,Healthcare Representative,3452.0,9,No,12,0,3.0,5.0,2,103.94,0.33577063690590725,3.0
38.0,No,Travel_Rarely,8,4,Female,2,Sales Executive,10589.0,2,No,13,1,3.0,7.0,2,230.19565217391303,0.0,2.0
