Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,MonthlyHours,OverallSatisfaction,TaxRate
52.0,No,Travel_Rarely,9,4,2,Male,3,3,Research Director,3,8446.0,9,No,17,3,0,2.0,2,8.0,7,156.61363636363637,2.6,0.3871716731969235
36.0,No,Travel_Rarely,1,1,2,Male,3,5,Manager,3,4834.0,1,Yes,14,3,1,3.0,3,1.0,8,157.94230769230768,2.8,0.4114209180567393
25.0,No,Travel_Frequently,16,3,3,Male,3,2,Sales Executive,4,4768.0,1,Yes,25,3,1,4.0,3,1.0,5,448.0555555555555,3.2,0.7044017358958462
33.0,No,Travel_Rarely,5,4,2,Male,3,1,Research Scientist,2,2799.0,2,No,14,2,0,1.0,3,3.0,7,271.9076923076923,2.4,0.8416317754894195
31.0,No,Travel_Rarely,9,2,3,Female,3,1,Laboratory Technician,4,6319.0,1,No,12,3,0,2.0,3,10.0,2,106.37333333333332,3.2,0.20794685384808226
35.0,No,Travel_Rarely,7,3,4,Male,4,1,Research Scientist,3,2269.0,1,No,11,4,3,2.0,3,1.0,2,276.280701754386,3.6,0.8559182118364237
27.0,No,Travel_Rarely,4,2,3,Male,3,1,Sales Representative,2,8726.0,2,No,11,1,1,0.0,3,9.0,3,374.82142857142856,2.4,0.5842782277274893
23.0,No,Travel_Frequently,3,1,4,Male,4,2,Sales Executive,4,1790.0,1,Yes,20,2,2,2.0,3,1.0,5,234.83098591549296,3.4,0.892640796497331
42.0,No,Travel_Rarely,17,2,4,Male,4,2,Research Scientist,1,3375.0,3,Yes,13,3,0,2.0,3,3.0,2,280.6829268292683,3.0,0.8533628779979145
35.0,No,Travel_Rarely,29,3,2,Male,3,2,Manufacturing Director,2,2690.0,1,No,13,4,1,5.0,2,1.0,8,120.46938775510205,2.6,0.7721497543621887
39.0,No,Travel_Rarely,5,3,3,Male,2,3,Manager,1,3069.0,2,No,12,4,0,3.0,3,10.0,10,124.77777777777777,2.6,0.4534283170080142
59.0,No,Travel_Rarely,26,2,2,Female,2,2,Sales Executive,2,13726.0,8,No,15,3,0,4.0,3,5.0,2,256.7959183673469,2.4,0.4545815783199555
34.0,No,Travel_Rarely,12,2,4,Male,3,1,Laboratory Technician,4,2008.0,1,No,13,3,0,2.0,4,1.0,2,175.28205128205127,3.6,0.8531304856641311
35.0,No,Travel_Rarely,1,3,4,Male,3,3,Research Director,1,16292.0,1,No,13,2,1,3.0,3,13.0,12,203.65,2.6,0.0
37.0,No,Travel_Rarely,4,3,4,Female,3,2,Healthcare Representative,2,3452.0,9,No,12,4,0,3.0,2,5.0,2,103.94,3.0,0.33577063690590725
38.0,No,Travel_Rarely,8,4,1,Female,3,2,Sales Executive,1,10589.0,2,No,13,4,1,3.0,1,7.0,2,230.19565217391303,2.0,0.0
51.0,No,Travel_Rarely,2,2,1,Male,3,1,Sales Representative,3,6393.0,0,No,19,3,1,4.0,3,4.0,2,118.38888888888887,2.6,0.0
40.0,No,Travel_Rarely,3,3,1,Male,3,3,Sales Executive,3,5003.0,0,No,12,3,2,6.0,2,10.0,10,126.93421052631581,2.4,0.4813931792267026
36.0,No,Non-Travel,10,1,4,Male,3,1,Sales Representative,2,9980.0,1,No,22,2,0,3.0,3,10.0,0,316.0,2.8,0.5732124529592884
38.0,No,Travel_Frequently,29,3,2,Female,3,2,Laboratory Technician,3,17491.0,4,No,13,1,2,4.0,3,6.0,7,203.38372093023256,2.4,0.0
34.0,No,Travel_Rarely,10,2,1,Female,3,1,Research Scientist,4,3038.0,3,No,21,4,2,3.0,2,1.0,2,139.92753623188406,2.8,0.6853443811496633
40.0,No,Travel_Rarely,1,3,4,Male,3,5,Manager,1,10475.0,0,Yes,14,3,0,2.0,3,18.0,10,233.80246913580243,2.8,0.4468792903157672
33.0,No,Travel_Rarely,18,3,3,Male,3,2,Sales Executive,3,6179.0,1,No,16,2,0,2.0,3,5.0,2,82.6046511627907,2.8,0.13020833333333334
52.0,No,Travel_Rarely,5,3,3,Male,2,3,Healthcare Representative,2,9255.0,2,Yes,13,4,1,2.0,3,4.0,0,259.72972972972974,2.8,0.03694068678459938
36.0,Yes,Travel_Rarely,11,2,1,Male,1,2,Healthcare Representative,2,4678.0,5,No,15,1,0,2.0,1,6.0,0,235.7704918032787,1.2,0.6747323042692254
35.0,No,Travel_Rarely,1,4,3,Female,1,1,Research Scientist,4,8952.0,1,No,12,4,1,2.0,3,17.0,3,144.38709677419354,3.0,0.0
33.0,No,Travel_Frequently,2,1,2,Female,2,2,Human Resources,4,4223.0,1,No,21,4,0,2.0,2,15.0,1,80.05319148936171,2.8,0.4388039867109633
48.0,No,Travel_Rarely,22,2,3,Female,3,2,Sales Executive,2,6439.0,0,No,13,1,1,2.0,4,8.0,7,162.94736842105263,2.6,0.5840439276485788
34.0,No,Travel_Frequently,2,1,3,Male,2,4,Manager,1,9547.0,7,No,15,2,0,2.0,4,10.0,7,433.075,2.4,0.4488829879351152
50.0,No,Travel_Rarely,29,2,1,Male,3,2,Research Scientist,3,12932.0,2,No,11,2,1,3.0,3,2.0,4,140.56521739130434,2.4,0.0
55.0,No,Non-Travel,2,4,3,Male,3,1,Sales Representative,4,17001.0,3,Yes,21,4,0,3.0,2,9.0,2,242.87142857142857,3.2,0.0
35.0,No,Travel_Rarely,7,2,2,Male,3,2,Manufacturing Director,1,1951.0,1,No,12,2,1,3.0,1,1.0,10,134.06451612903226,1.8,0.53055822906641
40.0,No,Travel_Rarely,17,2,3,Male,2,2,Sales Executive,2,2018.0,2,No,16,3,2,3.0,1,5.0,2,509.75757575757575,2.2,0.8800380454167162
47.0,No,Travel_Frequently,3,2,3,Male,3,3,Research Director,4,12936.0,3,No,15,4,0,3.0,3,8.0,7,496.7435897435897,3.4,0.33226655654777265
36.0,No,Travel_Rarely,6,3,3,Female,4,2,Research Scientist,1,7094.0,4,Yes,13,1,2,0.0,3,7.0,7,333.35294117647067,2.4,0.5827304276219046
29.0,No,Travel_Rarely,10,1,3,Male,3,1,Research Scientist,3,2804.0,0,No,17,2,1,3.0,2,1.0,1,183.74242424242425,2.6,0.7687804073554878
47.0,No,Travel_Rarely,1,3,2,Male,3,1,Research Scientist,1,5868.0,4,No,13,4,1,3.0,2,13.0,2,74.86075949367087,2.4,0.007778153533987148
39.0,No,Non-Travel,4,3,3,Male,1,2,Human Resources,2,6472.0,6,No,19,2,1,2.0,3,9.0,2,346.56666666666666,2.2,0.6887563720303934
24.0,No,Travel_Rarely,11,2,3,Male,3,2,Healthcare Representative,1,2725.0,1,Yes,12,4,0,3.0,2,6.0,5,213.6125,2.6,0.840540698695067
